"No","Nama Kecamatan","Volume Sampah Tidak Terlayani"," Jarak ke TPA"," Jumlah Desa","Jumlah Penduduk"
"1","Kecamatan Cibinong","1860","33","13","371380"
"2","Kecamatan Babakan Madang","961","36","9","124745"
"3","Kecamatan Sukaraja","2604","30","13","205421"
"4","Kecamatan Bojong Gede","3565","27","9","275239"
"5","Kecamatan Tajur Halang","1302","25","7","130958"
"6","Kecamatan Citereup","2511","37","14","224692"
"7","Kecamatan Gunung Putri","3720","43","10","299046"
"8","Kecamatan Jonggol","279","66","14","151086"
"9","Kecamatan Klapanunggal","1612","50","9","112424"
"10","Kecamatan Cileungsi","2077","52","12","280084"
"11","Kecamatan Cariu","651","78","10","55031"
"12","Kecamatan Sukamakmur","1178","56","10","93780"
"13","Kecamatan Tanjungsari","744","92","10","62286"
"14","Kecamatan Ciawi","1333","32","13","119691"
"15","Kecamatan Megamendung","992","38","12","115955"
"16","Kecamatan Cisarua","992","44","10","134234"
"17","Kecamatan Caringin","1860","40","12","141326"
"18","Kecamatan Cijeruk","1116","33","9","97895"
"19","Kecamatan Cigombong","1147","42","9","102979"
"20","Kecamatan Ciampea","2308","8","13","177866"
"21","Kecamatan Ciomas","1612","19","11","163471"
"22","Kecamatan Dramaga","1457","15","10","115108"
"23","Kecamatan Tamansari","899","25","8","114569"
"24","Kecamatan Tenjolaya","899","18","7","69519"
"25","Kecamatan Parung","1488","30","9","131775"
"26","Kecamatan Kemang","1178","22","9","134193"
"27","Kecamatan Rancabungur","496","14","7","64949"
"28","Kecamatan Ciseeng","1271","26","10","123719"
"29","Kecamatan Gunung Sindur","1581","33","10","124610"
"30","Kecamatan Leuwiliang","1488","2","11","135298"
"31","Kecamatan Leuwisadeng","930","4","8","84186"
"32","Kecamatan Cibungbulang","1767","3","15","155190"
"33","Kecamatan Pamijahan","2108","11","15","169046"
"34","Kecamatan Nanggung","1302","13","11","102588"
"35","Kecamatan Jasinga","1302","27","16","113935"
"36","Kecamatan Tenjo","775","49","9","79795"
"37","Kecamatan Parung Panjang","1147","39","11","128247"
"38","Kecamatan Rumpin","2015","16","14","159802"
"39","Kecamatan Cigudeg","1829","39","15","145014"
"40","Kecamatan Sukajaya","961","23","11","73405"
